"","text"
"519"," gk enak voucher gratis ongkir  casback     h salh   dlu beda  gratis ongkir  dacasback  gk enak lh   member gold taakin sikit untung nya"
"520"," mengisi namaterus ulangi karna kesalahan server  bagus   aja wifi dirumah"
"521","mantaaaaaa"
"522","ng ngerti k aasi  belanja cuman  toamannyaman n   sellenya  amanahziihh"
"523","min aya   lem kah pas  daftar  nomer telejuga email i gagal masukin nama keterangannya servernya    tolong elasannya min"
"524","gimana aasi   udah    gk selesaitolong bereskan    segeradan ganti kerugian   aasi membela toko "
"525","pembeli  menulis lengkaamat antarnya taenalamat ual  ah lengkahkan telnya gak aktif ah  ual fiktif  alamat  nomor telbaik eli  ual   "
"526","nice good jobs"
"527","kacau  kurir rekomendasi  kacau tau  dianak tirikan iya sei   i jasa kurir rekomendasi"
"528","  diskonnya  "
"529","tarif ongkirnya  mahal dibanding komtor markete  jasa kurir nya "
"530","aasi "
"531","ga recomend blanja d  bnyak o tbsa d pke"
"532","  kendala transaksi lambat"
"533","  gratis ongkir nya   komn  cebanget resya"
"534"," uang  tdk dikembalikan  kesalahan ual"
"535","udah mahalnotif ganggu  tiatik"
"536","kebijakan yg buruk   setiambelian  biaya tambahan diskon dii taak  gratis ongkir  aja bohong  modelan kebijakan marketing   kek gitu"
"537"," "
"538","makasih tokoa yanannya  memuaskan  cs nya ramah   yg ragu  segan   tokoa care   tdk salah dlm  akun makasih  ya"
"539","udah ga asik  belanja d tokoa "
"540","parah banget tokecewa  sy beli barang yg  g sesuai  lma bgt dtengnya  yg bikin kesel ualnya s  menyeting toko  li   mmberi ulasan kecewa skali sy"
"541"," thn  i tosekarang dh  beralih vocer gratis ongkir gabisa    vocer laen nya  biaya transaksi dll et kecewaa btw trimakasi udh menemani  "
"542","semoga  larismaniiiiiisss"
"543","mantap"
"544"," "
"545"," nyaman transaksi   droko "
"546","nyaman banget i tokoa"
"547","mantap"
"548","diulit   ayaran    o d i nan  otomatis batal trus  aungsi o kalo gk  d i  saldo tokt   alat ayaran  trus aungsi saldo iyu "
"549","barang gak datangudah komn  hsrus nunggu  minggu udah  minggu uang  kembalikannya cuman  ribu    ribukecewa"
"550"," sih bagus takin kesini vocer ongkir   trh  gak   gabung vocer  alhasil hnya  make bebas ongkir doang  vocer ngan terbuang sia     beralih  toko sebelah"
"551"," o"
"552","tokoa  t  males belanja  tokoa"
"553","  melindungi eli  transaksi  merugikan"
"554","tetamangat  semoga berkah amin"
"555","mashokkk"
"556","aasi h   fitur cod  utamakan belanja  nyari yg cod aja susah   ramai cod utamakan bose"
"557","voucher ga    auto uninstall"
"558","pengguna "
"559","shooytime and anywhere"
"560","tokselalu  hati karna aa ringan  ce gak kaya si oren  lemot h tolong ahankan kinerja  sei "
"561","bagus"
"562","semoga  jaya  sukses"
"563","  crash"
"564","gratis ongkir knrng gabisa dii  dg voucher diskoncashback"
"565","bangke emang  yg iya bnyak o tmua transaksi yg  o transaksi  batalin aasi"
"566","ra masuk"
"567","mudah  cepat"
"568","ok baget"
"569"," mencoba  sanan gofood ditokoa nan   terima  status  selesai kemana i nya nan  woi  sungguh mengecewakan "
"570","good "
"571","good"
"572"," aman"
"573","dlu  bilangin sma teman sya kalo  belanja online  tokoa aja gada ningirim barangnya carganya murah gratis ongkir  kebalikanya gratis ongkirnya sdh  sei   yg irimannya sucedulu   sbelum tgl estimasi  samketangan  barangnya   hamsamtgl estimasi tnya  dtg pdhl     kota sya  dianter   alamat sya unlike for tok not recomended"
"574","aplikasi nipu   tokopedia  cuek   respon  membantu"
"575","good tokoa"
"576","jos"
"577","payah"
"578","manataaap"
"579","ok"
"580","mantap"
"581","parah bebas ongkir gak  dii barengan  vocher "
"582","  dftr g  masukan nama gimana  dftr aih"
"583","nice"
"584","aasi bagus sayang ayaran cod    aasi "
"585","beli a  murahsuka dehhh"
"586","hebat"
"587","sadis"
"588","mantalau  tambahkan kredivo nya kak"
"589","klo gk  balikin si   smakin  ngasih bintang  smakin kecewa  gk  gratis ongkir  ujungnya  ttyar penurunan kualitas"
"590","   menggabungkan  kucashback  gratis ongkir   cashback ongkir bayar    gratis ongkir  dacashback  beralih  toko sebelah"
"591","oke siiip"
"592","gratis ongkir  cashback    gabung   kecewa dnegan ketentuan       eli  milih   cashback  gratis ongkir"
"593","aasi rusak tarik refund gabisa  transaksi  batalkan sek"
"594","good service"
"595","gw  ue semoga penilaian   dirating buruk ituh  "
"596","sian yg ngide  iriman kurir rekomendasi sy sumn tnya bau kacau  tokskrg kalo gak dibalikin  kayak  gak dio kayak skrg sy    ah yg belanja"
"597","bikin akun aja eror    ue  memuaskan makasih ff no hail eror aonslet  rekomendasi    menyesal"
"598","hmmmmau tulis taales gua caja intinya  bug agi ama kali download bugnya gak  download data  mencoba fitur"
"599","lovvvvvvvvv"
"600","ue   toko a"
"601","sangatbmenyenangkan"
"602","  mantamoga   tembelanja  bersahabat"
"603","mantap"
"604","bagus"
"605","ok"
"606","kalo  bintang nol aja   coba blnja  tok eh udh bayar  batalkan  sampe x emnya dibatalkan pdhl udh  bayar via tf perkara nomor rek yg tf  jd   kecurangan gajelasss tokmau niat jualan gasi kesel ujung emg bnr blanja  toko oren aja ng bagus"
"607","penjualan merosot efek o ongkir  cashback    berbarengan adah  yg ahberalih  toko  ya"
"608","   h kebijakannya  o bebas ongkir cashback biaya jasa aasi sambiaya asuransi walautidak memilih asuransi"
"609","ceaman  gratis ongkir nya"
"610","mudah mudahan amanah"
"611","ok"
"612"," berharaar  sidak  seller   barang yg overmelebihi katas   uol motor  ual buble wra  i tdk disarankan   angkut motor   haraar  controlsidak  saller yg nakal"
"613"," rubah  kesbek  sei  irian   tau   dangan   tau  jne temsaya lambat n  eaonal  bisanya siceatau jnt barang  d au  tolong aiki  sistemnya"
"614","bagus"
"615","semoga o diskon ongkirnya  "
"616","toko a  bagus  una "
"617","susah cari yg  cod"
"618","cs  balesnya"
"619","maaf   kasih  bintang   berulang kali  i diskon tetaalah saldo godikembalikan transaksi ditolak tetaaat diskon   i transaksi  berhasil"
"620","bagus aasi nya integrasi ayaran dgn gojuga gam"
"621","udah   tokbaru   keran  uninstall kebijakan atu  o taa gratis ongkir trus  biaya transaksi bikin males aja belanja    desakan  k   bayar k online market   sih  bener gak"
"622","vaegal taiblokir"
"623","sippp"
"624","rating  knya"
"625","aasi sialan rugi doang gw"
"626","tolonglah ya  baatau   terhormat  kalo  setiasuk  verifikasi    sumya   alaman buruk   cari barang secemungkin taergganggu  verifikasi  berulang"
"627","sungguh syulit"
"628","bagus"
"629","paket udh dibayar   dibatalin otomatis"
"630","  kendalanya samavouchergratis ongkir nggk  barengsudah ongkir dinaekkan   voucher nggk  barenggara kebijakan   malas dah belanja  to"
"631","gk tau  cod"
"632","mantab"
"633"," kebanyakan ue  gak  manfaatnya bikin ilfil aj"
"634","aaling glk  ah  instal mo daftar aja dri kemarin kesalahan server  udh coba  email nodh  restrat ude hachace tta kek gitu kalo gamau  nga bikin aek gini  gak mutu  sekalii "
"635","mantanget anjay mabar"
"636","yw"
"637"," aja"
"638","ok tingkat  "
"639","ongkir wajar beda   oren"
"640","kenakhirakhir  aasi   lemot"
"641","simpel"
"642","aoerorr gak   "
"643",""
"644","dah  bgt belanja  samadi member platinum taekarang udah  ga enak belanja  gratis ongkirnya u  kebijakannya  aneh mending migrasi  olshoin aja dah  ngaco si ijo nih"
"645","parah sih  laku   tokoa test fisik hp  test r lcd emai volume foto kode layar foto  hp   test jaringan gilan telekarna layar  tamsaat gilan ditolak whay bro"
"646","good job"
"647","nice"
"648"," membantu  suka tokoa"
"649","mudah  cepat"
"650","gg"
"651"," bayar angsuran keredit  aasi tokoa  tanggal  samtangal   belom kelar jugasaya  lan  tokoa care tauru nunggu nunggu   jatuh temngsuran  tgl   tgl     nunggak   gara gara tokoa angsuran  telat   ga ah telat bayar hati hati kalo  yg  bayar angsuran  tokoa"
"652","aasinya bagus  memudahkan  belanja"
"653","keren"
"654","bagus"
"655"," kasih   y  nyoba"
"656","aasi belanja yg bagus"
"657","bintang yg berbicara"
"658","kecewasusahnya ajuan koman  retur barangmasa vasilitas  mendaan nomor resi tdk adatanya amalah solusi  a  suruh  manualdatang  kantor essisedangkan jarak kntr essi  rmhku cukuuhjadi gagal deh  retur barangsia  beli barang tdk   ibeli barang    buanghaduhmending blnja  si oren kalo   koman  mudah fan ce"
"659","aasi bejat   login ue  "
"660","belanja  tokoa  teraya  mudah  dadiscount yg byk terima kasih tokoa"
"661","barang teraya embalian dana mudah  cepat"
"662","mahokkk"
"663","bintang    jarang belanja      bilang  toko yg tdk jualan  sebulan nga dibiarkan gk   minggu  minimal  ngatan    nya akun toko   ditutuagi toko  seembeli  susah   barang  dikirim  aslienggaknya  gratis ongkos  cod takut banget jdi eli ama  resiko diti dibohongi"
"664","  eli ritas taeuntungannya  berkurang  bebas ongkir tada tambahan biaya  karna harga ongkir reguler ilo nya  mahal berbeda  yg berbayar voucher    gabung  bebas ongkir ahankanlah nggan karna aingan bisnis market e  ketat siaerani kasih  i menang"
"665","ghj"
"666","   membantu syekalee    memuaskan"
"667","mantap"
"668","aasi bagus admin tokoa resterhadandala  elian  i aasi  dibandingkan komtor "
"669","pelayanannya buruk"
"670","ok"
"671"," h layanan plus kurirnya mengecewakan"
"672","mantao"
"673"," kesini tokmakin   aa sdh diue kirain  gacor jalannya  eh  lemot kayak keong lemot abis kouta  ue aamnyesel banget tau gk  diue kalu bikin ag bnr dunk jgn nyusahin org loadingnya  nunggu   diue lanjay lancar jaya"
"674","tokmakin t o  dikit cashback sulit"
"675","aasi bagus tbanyakan lemnya  kurir  yg  next day  custumer h next day  butuh csei  kemarin butuh cakai next day datangnya    butuhnya  next day  beli lg off line krn emang butuh can yg beli  tokoa g dii saran  yg next day ala telat  refaund nya jgn  ongkirnya tharga barang yg  beli  ongkir sayangkan udah beli tlat   beli offline"
"676","tolong  an elian nominal a  o  "
"677","ribetttt bgttt  masuk akun sendirii aja susah"
"678","sy user tokyg sdh cukuma    ama kalinya sy  ulasan u aok jujur aja sy  nyaman d ue yg skrng knn d device sy aokberjalan  berat  berasa bermain game dng syg  mohon d aiki  d device kentang ram  berjalan dng mulus sy mah msh demen uean sblmnya yg msh raman d device sy   keluhan sy makasih"
"679","semoga   aja"
"680","ok"
"681","ok"
"682","oku ilang asemmm"
"683","baguss"
"684",""
"685"," kecewa sm toko a sdh  x beraali cek out barangnya giliran sdh dibyr  latter langsung bilang kosong "
"686","paket  dr tgl  ga nyam dianggelang  kurir nya tna ga  samkrg"
"687","oke deh"
"688","mantap"
"689","  gabung sma daian bikin smua tanersetujuan k qt yg  tariki uang titias ribet  ngurusnya  daian l niat   infest   ribetkan kyak gni kcewa bgt sma tkoa   sni  g bermutu emas g seberaau  ambil d ulit bener rugi  rugi materi"
"690","bener lhodgn ayaran pay letter  membantu usaha  rjaan sy"
"691","uaaaaasssss"
"692","tokcara cebelanja hemat"
"693","ok"
"694"," memuaskan"
"695","ok"
"696","siip"
"697","  belanja ditokbravo knya"
"698","tokoa suka mengubah tamn wishlist    i wishlis   hilang "
"699"," "
"700","tokoa memudahkan nggan nya tonget deh"
"701","mudah ayar dgn gopay"
"702"," belanja disininyaman"
"703","good"
"704"," setiaansaksi kena biaya seribu gratis ongkir  cashback    i bersamaan ca"
"705","bagus bgt   langsung dahadiah gratis"
"706","maaf develosaya  comnt  meng ud foto  video  esanan  ulasan     fitur   ing  informasi ajuan comnt  kualitas uk tolong  aiki"
"707","membeli barang  toko a aman cateraya"
"708","bagus  nyaman"
"709",""
"710","hati ama toko a aasi    hataaya a transaksi    bikin  uang  diambil  tabungan   dikembalikan taok gak  mbahan disaldo bank tolong  k tokoa balikin uang  haram lo hukumnya mengambil uang   hakmu  jiwa  jiwa maling "
"711","tokoa  bagus  utk klaim asuransi kerusakan dlm iriman  membantu  diganti full harga barang terimakasih tokoa   eli jgn luntuk menyertakan asuransi kerusakan  lian   barang  samsertakan video unboxing     dgn barang rusak i tokoa membantu taa  es nggak langsungjadi  tetek rugi"
"712","stlah d ue bkna  bagus  bikin kecewa"
"713","logo nya prioritas  taetanggung    ga   "
"714","mantab"
"715","jos"
"716","bagus"
"717","aasi ng rekomended kalo  beli online gak kayak si orange  si biru  kebanyakan siklan  tetehal"
"718","penak"
"719","   "
"720","udh x belanja uk  tokbeda deskriayah   seleksi tokoseller yg rugi    toksendiri cemen agh rugi rugi belanja  toklagi"
"721"," bbm naikgratis ongkir  lamaaku jatimbiasanya  surabaya jam nyamekarang haridari jakarta agi    nyamemarin   nyammana gak  ue  fitur lacaktaalo ongkir bayar  lancar"
"722","cashback n voucher bebas ongkirx g bsa d gabung   bea trx"
"723"," teraya "
"724","kembalikan toksei  "
"725","teraya"
"726","gak  verifikasi "
"727","promo    uk jg  mahal "
"728","goooooooddddd"
"729","bagus"
"730","semoga bermanfaat  amnah"
"731","kebijakan   i voucher gratis ongkir  voucher cashback  bersamaan  meresahkan"
"732","aman"
"733","kecewa"
"734","skr jarang   gratis ongkirnya lg sulu  jarang  bayar cod  tokoa gak  rugi  untung "
"735","oke"
"736"," bertahun   belanja  aasi   kebijakan   udah gak asik mending ah haluan aja  kebanyakn beriklan drakor  gak    biaya layanan setiaansaksi biaya beli voucer gratis ongkir dll  terimakasih izin meng uninstal  haakunnya"
"737","tokoa  gak kta dulumalah   mahal sbb kebijakan "
"738","terbaik"
"739"," ragu beli elektronik ditokoa barang dijamin"
"740","oke bgt"
"741","tokoa  top"
"742","terima kasih"
"743","mantaanyak onya"
"744","semoga tokoa  memuaskan yananya  onsumen"
"745"," tahunan  tokoa    biayanya layanan tera uninstall  dech"
"746"," kasih bintang terimakasih kredit arsaya  terbantu  aasi     salah    "
"747","ongkir  mahal"
"748","tokoa emang yahuyyyy"
"749","mantap"
"750","okee"
"751","masya allah tabarakallahu  mantapks"
"752","seller  kirim barang seller  komn buang aja  tokoa kebijakan tokoa  h ah  aasi sebelah aja"
"753","aman  bagus"
"754","makasih toko a"
"755","dibatalin mulu"
"756","  golater  belanja  taak  bayar cicilan notifikasi  gak    tomauwa gimana nih"
"757","  ok"
"758","kasih bintang   tokberubah  sdh gak  gabungin voucher bebas ongkir  cashbackdiskon  dih salah   hadehhh  ituvoucher bebas ongkir cuman nama doang ng ongkir cuman beberabukan bebas ongkir namanya  tdk terng  kembalikan tokyg  kayaknya  sy tdk  belanja  toklg  haakun aja"
"759","  o utk todan tokena"
"760","bagus"
"761","semoga  berkembang tokoa"
"762","kemudahan  gunaan"
"763",""
"764","mantah kum barang nya"
"765","good"
"766","mantan membantu "
"767","wajar  daulasan negatif dr konsumen belanja i kartu erja aja      siman aja    ual  jualan     banding  lazada shopee tiktok  segi kebijakan aagi yanan cs  banget kebanyakan ber teleteleselalu berk  gak ah  menyelesaikan     eli  merem aja lan toko   lan asalan i  sangsi toko    mnysl ntr mnding mlai cabut deh"
"768","ok"
"769","  tokoa   yg  suka  interfacenya yg mudah    setia sebisa   skrg   menggunakannya   kecewa cashback    ng   terima    memasang kuyg  i  memasang ku   cek  riwayat transaksi   kecewa"
"770","ruwet aasinya"
"771","mantab"
"772","mantan  dablanja rdan vocher ngan belanja"
"773","anjangan  tolak  eli taenggat nya  majuin tokkemarin   ga kayak gini  kali  aja si kayak ga esional banget hahaha"
"774","mantap"
"775","barang  gagal kirim ayaran gk   bayar  temenan ku  samduit   transfer  lacak si nya   tnyataan gk samsedih kecewa banget barang    samduit  masukbarang   kirim    k yg bertanggung   tokoa  diam  hati hati kawan    gk  res sam   sambarang  gk  res tokoa  ajar ribu     an  gede"
"776","kak mohon solusi nya kak haaya  instal   gak  kaid   email kak no ha udah mati kak sandi gak muncul kak mohon ya kak  bantu gimana  ganti nomor nya kak makasih maaf"
"777","  cod  ya gold member  cek harga  belanjanya disebelah"
"778","bagus"
"779","toada ram aman online taihak  nyoba pinjem  jt syaratnya  am  ditlgala  besoknya  disurvey  kerumah  alamaknyak  no recomended pake yg  aja logo   k"
"780","mantap"
"781"," membantu  jual beli online"
"782","ok"
"783","asyik"
"784","ntaps"
"785","paylatercicilan bunganya gede bgt"
"786"," onya  cuy"
"787"," gabung gojek tomakin t o  cashback gabisa digabung bebas ongkir klo  bebas ongkir  langganan rb rugi  sy belanja onlen stiari rindu toyg   ner  ovo skrang sy slalu blanja dioren l  sy slalu oped"
"788","ahh aah kirain  belanja   akun   barang gak  confirm  ual nya aneh banget   nya  ganti  belanja   "
"789"," "
"790","mamtap"
"791"," tokoa udah gak  digabung gratis ongkos  kugak asik"
"792","jos"
"793","aasi teraya"
"794","top"
"795","gg"
"796","makasih"
"797","tokoa  h banget casback  gratis ongkirnya  jadikan    ah dacasback  go"
"798"," kebanyakan ngeluh  untung  bebas ongkir rb kalo mental mengeluh  ditamkan  deorang  kalo gak suka tinggalin kalo  suka ya stay gitu aja  re"
"799"," keren tok"
"800","aasi  komitmen  customer  kendala iriman eh anan nya  gerak ce lambat    bilang no rea kecewa"
"801"," bonus nya"
"802"," beneran loh"
"803","mantap"
"804","suka mantap"
"805"," udah nyaman belanja  tokbeli barang han juta  udah  dacashback  takrang o cashback  bebas ongkirnya   gak  nyoba belanja toko sebelah aja dehh"
"806"," suka banget belanja  tokoa semenjak gratis ongkir  voc cashback maudiskon ngga   gabung   kecewa    voc cashback event wib hilang  kecewa tokoa  t"
"807","aasi nya baguss"
"808","mohon evaluasi nya  formulir data telnsumen      konsumen barang  diantar  temtujuan   alamatnya  sesuai aelum   dihilangkan    nomor telrsebut salah  tujuannya  memudah k kurir berkomunikasi  nggan  konsumen barang   dikirim "
"809","bagus bagus bagus"
"810","bagus"
"811"," sangan berterima kasiha aasi toko abisa jualan   belanja  gam"
"812",""
"813","goood"
"814","mantap"
"815","pengembalian dana  dibalikin   kecewa h"
"816"," gk tokkaya blibli kalo cashback emng engga cair langsung cancel  sisa refund"
"817","bgs"
"818","juara "
"819"," memuaskan belanja  tokped"
"820","smga bli blnja  sni lgi"
"821"," mudah  membantu"
"822"," aya  cb nya  gk cair"
"823","gg "
"824","tokoa terbaik "
"825","uda males belanja  tokoa  gk   diskon  cuman   vocer geratis onkir  gratis onkir nya cuman ngan beraersen  kecewa   tokoa yg "
"826","susah belanja d sinilebih gam  orens ongkir ny jg mahal bgt"
"827","mantap"
"828","   bintang dulukalau barang  samsesuai  aman nyaman tentram    full bintangnya"
"829",""
"830","ulasan   mohon maaf  ganti  thn    kebijakan  dimana  biaya layanan setiaansaksi ya okelah ga msalah  ga   taneh nya vc cashback  voucher gratis ongkir    i bersamaan  hmm  gimana gitu ya  belanja mesti mikir lg msh wort it aa klo beli online sma offline tlg  k management tokagar keluhan  costumer   tinjau  "
"831","sy berkali hub tokoa care krn akun toksy tdk bs diakses lg  akun tsb terhub dgn indodana goater cicil  plus bgmn sy bs byr cicilan sy kl akun tdk bs dibuka  sy  klaim barang yg blm terselesaikan tokoa bgmn "
"832","aasi kontool gak  login"
"833","okeh"
"834","pelit ngasi gratis ongkir mestinya  contoh yg warna orange"
"835","good job"
"836","cees nya"
"837"," runan   diskon    digabung elesaian jomn  berk  ual   adil    rekanjualan tahunan belanja ditok  kali  kecewa berat"
"838"," meninggalkan tokoa  beralih  toko sebelah yg gratis ongkirnya gk nekoterimakasih  gratis ongkosnya  "
"839","oke banget tokped"
"840","   ayaran   ribet  kasian yg    susah  beli barang   ayaran  berbelitbelit"
"841","fitur  tokcukumudahkan "
"842"," kasih bintang  karna  nyaman  tokoa  aasi  bagus "
"843","ok"
"844","pengiriman barang  akurat     temukan"
"845","peni   belanja aun bebas ongkir iklan dgn kenyataan  sesuai  ohongan ik"
"846"," "
"847","   bertahuntahun   kecewa gratis ongkir    digabung  kudiskon  cashback langganan plus  mengecewakan kelebihannya  kuota bebas ongkir   dibatasi  minimum transaksi rb selebihnya   uma  kerena tetadak  dii bersamaan  kudiskon  cashback pengiriman       ritas  kudiskon  cashback belanja   berguna"
"848","highclass and resif the best for all"
"849",""
"850","  senang   diskon sesuai taalah   digabung  gratis ongkir ya uma ditambah ongkir  jawa mahal  ya udah good bye pindah toko oren keknya asik sih"
"851","uenya maksa banget mending uninstall"
"852","kecewa o    i"
"853","mantakped"
"854","good"
"855","pesanan     mendaan driver  mesen   sore  driver  sameday"
"856","kecewa  goater  toko a limit  kasih jt       doang    yg salah  sayatidak  respon"
"857","gassss"
"858","saran   tokoa ngiklanin   televisi agi  artis ternama artis korea dll  biaya      biayaanggaran iklan  osi  media televisi  alihkan  subsidi gratis ongkir  banyakin voucher cash back o dll  ing eli   keuntungan mudah murah  simdalam belanja"
"859","eren"
"860","good"
"861"," bug"
"862","terbariiikk  toko oren"
"863","oke mantap"
"864","bagus"
"865","tokoa   berubah udah bertahun  i tokoa skrg bebas ongkir nya dijadikan voucher bener bener h tokoa "
"866"," kecewa  tokoa     gratis ongkir   voucher cashback"
"867","kecewa  tokoa  udh gk    agi  iriman nya gk   sicemalah dioke jne iya   barang  nya"
"868","   mahal bebas ongkir serasa   selisih   seberaiaya administrasi   ru  meningkatkan kualitas layanan aasi  kali lambat"
"869","ok bngt"
"870","tokoa bagus tay sarankan  ayaran reguler  kombinasi  dana  saldo tokoa   rating tokoa  sy kasih  bintang"
"871"," jelek free ongkir  cashbanknya nggak    bersamaan  nggak  bahan     beralih  oren"
"872","sya sdah beberahun ni  to y  membantu "
"873","menarik sih"
"874","mantah nya  tokoa"
"875"," membantu  memudahkan mencari barang kebutuhan"
"876","oke"
"877","mengaidak  okirim video  chat   ud video unboxing  chat  seller tauma  okirim gambar invoice  uk"
"878"," ah dabukti iriman beruotojadi   belanja  dikirim  alamat   suka  aasi sebelah yg  menyertakan foto si rima t  bukti irimannya   tokcm  nama si rima ajatdk disertakan fotosemoga kedeya bs disertakan foto si rima sbg bukti irimanx  samdialamat trtuju"
"879","aasi tokoa  jelek banget gak  gratis ongkir ditambah kena biaya kalo belanja "
"880","top"
"881","blnja  tokoa dngn goater sngat memudahkandngn han ciln yg  tentukan "
"882","barang   nyaa  jarak solo  sragen aja  belanja  shoja solosragen sehari nyampe"
"883","cakeeeeeeep"
"884"," bermanfaat"
"885","odjgi"
"886","smga bgus yahh"
"887","belanja asyik"
"888","terbaik"
"889","my st app"
"890","ok"
"891","tokoa yess"
"892","pengiriman kurir rekomendasi     rekomendasikan h   minggu  estimasi     kesini jasa iriman ko  jelek"
"893","  barang  dikirim seller cacat dikomn tetaa admin  berk  seller"
"894","aasi good"
"895","ok mantap"
"896"," bagus skrng  aharuan berulang jdi lemot buka aasi berat"
"897"," top"
"898","mantap"
"899","ok"
"900","gara   sistem vocher gratis ongkir gak   gabung  vocher cashback  anehnya belanja   toko taok  item ongkirnya    gila h bgt knk   kayak shodll  tera beralih  toko sebelah terimakasih   tahunnya bye bye tokedbc"
"901","tingkatkan trsdn bebaskan ongkir"
"902","suka"
"903","  "
"904","good"
"905","gabisa login"
"906","sngat kecewa o  bebas ongkir tdak bsa dii bersamaan bda dgn tokdulu"
"907"," belanja  tokharus hati hati  barang ujadi gak nyaman belanja  online agi  toksekarang tolong k tokbertindak "
"908","tokamanah"
"909"," membantu"
"910","ya cukumbantu"
"911","liked it"
"912"," gak  cod nya yahal toko nya membuka codtya eli  damenggunakan nya karna gk timbul cod nya"
"913","rescustomer service ceedan ngangeninjaga  yanannyadan jgn luntuk menera ssenyumsalam terimakasih"
"914"," males   aasi"
"915","udh bertahun  aasi  krna menikmati diskon gratis ongkir      biaya layanan tujuan belanja online krna harga bersaing skrng  aja  beralih  aasi sebelah tutuun jgn  "
"916","excellent"
"917","good job"
"918","sdah brthun atokrna ongkir mrah bgtt yg  dr jkt cma rb sja klau dket bner    trg ongkir mhal bgtt smrb   mahal  trus lg cashback nya gk  d gbung sma gratis ongkir  hrus i plus  ater   nya cashbacknya   d setiabayaran aaja jgn d bda    plus  untk yg mmja klau orang  kyk sy yaa mending  blnja ssu anak  sya selisih rb rb sja  gnti auntuk blnja  terima kasih semoga tobisa si sblumnya"
"919"," cocok     membeli  "
"920","nan  refund gajelas dana embalian  ntah kemana kecewa"
"921","bayar nan i o gogagal"
"922","dukun bagus dageratis ongkir   gak  geratis ongkir mending ah langganan  shoopy"
"923","sesikit membantu"
"924","semenjak  kebijakan   tokoa   to  i  ga minat  belanja  tokoa  ga menarik sistemnya "
"925","kebijakan    mantap"
"926"," kena tiama irim  kasih foto u temya disuruh iin barang udah diterima  gaada han    diterima  gw   terima   a form  mendukung udah  komn    diskusiin  eli dikasih foto u  irim  disuruh mastiin sistem komn kalo barangnya  terima ga  banget anj ga  belanja "
"927","iini hhh nii hahaha"
"928","tokoa semenjak gabung  gojek gotojadi nambah jelek samhhhhhh   aja yg bagus  kesini  ancur  o belanja  ru   gratis ongkir  ongkirnya bayar sendirijadi     ru gak kayak shoyang bener  ruada  biaya transaksiada  cashback  gratis ongkir ga   samhh banget"
"929","mantp"
"930","good"
"931","aasi aneh klo ngerefund uang  bank nya     masuk  tokoadan klo ga   o   adain lahsia"
"932","terburuk seang sejarah"
"933","semenjak  ketentuan   kecewatadinya gratis ongkir    bareng voucher cashbacksekarang udah ga bisahal  alasan kebanyakan orang make tokoa karna o gratis ongkir    voucherkecewa min"
"934","very very good like"
"935","mantap"
"936","bagus bos"
"937","sadiss nih  cashbackfree ongkir h  wkwkwkkwkkwkkwkwkwkwkwkwk cashback   wkwkwkkwkw lawak free ongkir wajib belanja  rb wkwkwkkwkwk"
"938","bertahun  i tok nyaman semenjak  kebijakan    nyaman"
"939","  nnti kalo udah dtng psnannku  "
"940","kenaa  ud gambar ya  ing jualan"
"941","mantap"
"942","tifak   akses"
"943","membantu "
"944","sanagat membantu  bejulan"
"945"," ok"
"946"," kesini  kesana nich toga  bikin o y bikin ng emak tetangga si oren enak beud udah damember ium  belanja yg murah  diudah   diskon uk sistem cod  seabrek ringkas belanja y betulin  ya mimin toalau ga gw turun sekaranguninstall"
"947"," tokoa mohon   iklan tuh kasih     iklan tuh   nunggu berjamjam mengangguk  nya  gak larang   iklan tuh taolong  nya  samber ulang ulang h tuh iklan  esmosi  lihat nya"
"948","pengembaliannya  woy"
"949",""
"950","perkembangan  arah   buruk biaya ngananadmin  maklum tani gk  i voucher cashback  gratis ongkir  bersamaan  nilai negatif"
"951","peram pesenan   tolak uangnya masuk aasi pas   tarik  admin "
"952","proses embalian barang ng ribet   gocoins   belanja  tokoa   a   beli a  beli token listrik aja selebihnya gak    goolsholing  gak "
"953","gabungkan voucher  gratis ongkir"
"954","warbiazahhh"
"955","gratis ongkir   gabung casback"
"956","mkin jelekkkk"
"957","sekarng  kurirada biaya tambahan stoooo"
"958","mantap"
"959","lamalama  t free ongkir  vocer  dih   nyatu  milih  gasss uninstall "
"960","  berbelanja  tokoa   taangat kecewa  tokoa  layanan customer care tokoacare nya  membalas komn     memaksa  menyelesaikan transaksi  dana diteruskan  ual  kali   customer care sei    bintang   kasih bintang "
"961","aasi  gk jelasribet uda ditulis total ayaran sekian tayamitemmasi  biaya tambahanmembingungkan  arti  total  anga  ue  langsung aja  buang"
"962","bagusss bgttt"
"963","kesini kurir  lumuan taayang  toko  abal cobalah bersihin status barang stok  giliran klik beli stock abis"
"964","tolong   seleksi lgi seler nya n kirim nya "
"965","  senang  kebijakan tokoa  semenjak o cbdiskon  dadi gabung  bebas ongkir kiriman nexday segede   keboo  isi nya cuman  usudah    trimksih tokoa  mendengar  keluh kesah kaum rebahan bintang "
"966",""
"967","  mencobanya"
"968","   tokyg  skrng   bahan ga  h  voucher o  gratis ongkir nya  ga   i"
"969","muannntttaaapp"
"970","nice"
"971","sagat membatu"
"972","kecoa"
"973","tokmantaap"
"974","hati hati transaksi    kl barang samlang  kurir walausudah diretur  ual es embalian dana  kl  transaksi kl  jng  "
