"","text"
"124","bukanya  bagus  h   memakan memori hmbah beratsuruh a  yo mending  hani aasi  transaksi beli token  diulit ue  gx berat gpp"
"125","mantanyak diskonya"
"126","kerenn toped"
"127",""
"128","ok"
"129","good"
"130","aasinya  membantu"
"131","asem beli a error  briva teteng bajingaaaan"
"132","semoga sakitnya tokoa yg t  sembuhtokoa aasi yg harganya mahal  yg bikin murah  voucer grtis ongkirnya  gabung o laincashback ngek kalo lacs yg lamalah disalahin  ga tau a"
"133"," menarik ok banget"
"134","bagus banget"
"135","ku lihat  tv tokoa  bebas ongkir  indonesia aeneran ya   download   a   indonesia   a  bebas ongkir  k tokoa  menganggaini indonesia "
"136","gak  diskon a gan ongkir mahal sungguh yanan  buruk gak   belanj  tokoed mending  igshoa man temanbelanjny"
"137"," tokoa   diskon haaja aasi nya"
"138"," bagus"
"139","barangnya sesui gambar   mengecewakan  harganya  terjangkau  inggin belanja trus ditokoa"
"140","ok"
"141","sistem gratis ongkirnya kenaerubah   ga asik  h cashback  gratis ongkir  enak     nya   ga asik toped"
"142"," bagus  murah"
"143","kabelanja  tokgratis ongkir barang ilang udah ngajuin refund taangnya kagak  "
"144","aasi keren"
"145","mantalikasi  taolong  tingkatkan ya"
"146","mantab kaya mantan ama"
"147"," susah "
"148"," suka asiya"
"149","ime jaringannya  kasian  yg koneksi inetnya gak kenceng hahha"
"150","pengguna  udh dibayar ehhh  cancel otomatis  tok dancuk"
"151","  n telitilah  alamat iriman ah   ikan metode ayarannya  akses termudah h  ceiriman   kekeliruan dalammenentukan han diatasalangkah baiknya dibatalkan "
"152","mantais the best"
"153"," "
"154","  diskon vocer   maudi  error bedakan  una   yg "
"155","      saksi  korban   toko a  tu dilindungi toko a     tidur mengikuti es solusi  toko a  akun toko tu  moderasi anenagar  menionsumen   dibebaskan  buktibukti akaotovideo       toko alebih fokus  buka ladan sho   ganggang cls  cuy kecewaberat"
"156"," coba semoga  mengecewakan yah"
"157"," susah ud gambar  beli barang gimana nih  kasih rate tanhoto  menggangu"
"158","semoga    aya konsumen"
"159","tokoaberiratingaasiini"
"160","aasi     eli  ah   seller walaueli  salah aasi buruk  netral"
"161","kenaidak bebas ongkir  mrnggunakan cashback   adil  sajabcashbacknya  nutuongkir   ah berbelanja    turan  tokoa    menyusul bukalaalias bangkrut   berkurang elinya"
"162","oke"
"163","diue harga ongkir   naek  lemot  auto uninstal thanks"
"164","tokterbaik mskikdg  beberaoko  memuaskan   sesuai  dis  keterangan barangx"
"165"," diue liat o tasih o gajelas  o tterangan  tersedia    t aktif"
"166","parah cashback nya tii mengecewakan"
"167","recommended online store"
"168","terimakasih tokoa membantu kebutuhan belanja online  era digital  "
"169"," memuaskan"
"170","tokoa slalu terdepan"
"171","bagusss   terdepan"
"172","aasi gak bagusmau daftar   "
"173","bagus"
"174","belanja mudah  aman"
"175","mantaaaaap"
"176","mantap"
"177",""
"178","baguuuiuiiiiiiiiiuuuuuuus"
"179","mantap"
"180","ok"
"181","h ng h aasi  kalo kasih o ga ah bener invoice    klik terima  beda komn  gue yg disalain  aasi t o gratis ongkir ga  gabung o kode voucer   cashback taa masuk "
"182","good"
"183"," suka belanja  tokoa taakin kesini  ual yg balas chat cegiliran dibayar  dikejar  nom resinya   ual yg diulur  batal otomatis  batal otomatis nunggunya    ual  setuju  cancel order chat  laman  care toktalah  dires gak mihak eli   harga online    kyk offline"
"184"," bagus"
"185","toka h tukang bohong cashbak ngek aasi  ga ad amanahnya kam deh"
"186"," en masuk daftar aja shusah skali biyar  blanja  tokted"
"187","too"
"188","  cod  free ongkir  tulisan doang"
"189","sorting harga terendah  harga tertinggi  dibilang  berfungsi uk ad tersebar acakacakan menyebabkan bingung  bahaya salah beli"
"190","bagus"
"191","smoga lbih  lgi"
"192","mudah  berbelanja"
"193","mantap"
"194","huu gak bagus  skrang voucher chasback  gratis ongkir    bersamaan  buruk jelek  toko a   direkomendasikan  toko a  mending shpi"
"195"," kesini  busuk  tokoa kalo udh  voucher gratis ongkirnya voucher casbackdiskon udh ga biaa   lagii uninstal ajalah babi"
"196","refund uang  langsung  sumber uangnya  ditahan  aa"
"197","sangatbaik"
"198"," i diskonnya"
"199","ah tokoa nibarang  samhal uang   tranfer x elian ham juta taarag  adasi cekayak ad  taasih  i si cepat"
"200","siiga tokoa"
"201","ok"
"202","aasi    han ayaran  lengkaaenggunaan filter cod  tamlalu dicek    sambawah cod  tersediatidak berfungsi"
"203","bahasanya aja gratis ongkir   ngan ongkir  rb"
"204","surrr joosssd"
"205","simmudah"
"206"," elian ama  diskon rb udah sesuai sk elian taetea dibatalkan otomatis belian harga rb  bayar ongkir rb via octomobile eh   elian dibatalkan otomatis lawak wkwkwk  refund uangnya ribet buang  ikhlasin aja  itung itung sumbang  tokoa woahahaha samsam  temen temen kalo  elian ama  tokoa  saranin bayarnya k goaja biar kalo   kayak gini   refundnya gak ribet"
"207","later ga  setujui ku halagi bintang nya  u loug out  toko a tetaja  lazada  mantamit "
"208","okay"
"209","  susah utk berbelanja  tokkarna cashback  gratis ongkir   dinikmati  bersamaan    memilih utk berbelanja  lazada  tiktok shop"
"210","ok"
"211","tokoa ok"
"212","cacad ribet udah buka toko  toko dituturena  ga login"
"213"," tim tokoa tolong baca  ya  searching uk  wishlist   back  halaman uk  wishlist  direload ulang  please fix that"
"214","tokoa emang manta  bgt ue jd berat aasinya"
"215","alhamdulillaah  lolos tihan beternak ayam  intensif terimakasih"
"216","manta  kali   beli susu  tokoa  toko gak res"
"217","good"
"218"," k tokoa  belain k elihari    t udah   temeli  udh chat ama tokoa  cuekin  jd uma chat ama tokoa care kayak ngorang gak  tulis ama gak  chat"
"219","trusted banget deh"
"220","gratis ongkir  cashback    i  sei "
"221","toko a  dikirim   negeri kaga y"
"222","mantap"
"223","ok"
"224",""
"225","aasi   ditambahin  no tlurirnya su kalo  kesalahan  contohnya salah kembalian  menghubunginya"
"226"," aasi terbaik   walausedikit  lemot tani  banget thanks you for tokoa bagussss"
"227"," membantu"
"228","good"
"229","bagus"
"230","ah k aijau gegara aren mahal"
"231"," kalo udah  voucher cashback gratis ongkirnya ga berlaku hadeehhh"
"232","ok"
"233","aasi nya bagus gk kaya lazada  "
"234","not bad"
"235","mantabs"
"236"," eli setia totli  kecewa barang  utk thn ok  isi fom gw d  thn tete  d buka hrs via web  gunanya app aong gw  beli vaja ribet buka web     gunanya app  biar d permudah  yg anehnya  vape   ga  d buka hrs via web tp kalo alat bantu sex priawanita  loh aneh  kondom  heran tp  "
"237","rasain lu susah nyari driver  kondisi hujan driver  yg off  aturan  elu yg  suspend time  driver  melewati orderan  gue  banget hujan hujanan  ambil orderan  ogah banget"
"238","   aasi   ah mengecewakan"
"239","adain gratis ongkir s dlu lgi"
"240","good good"
"241","bagoes "
"242"," mantakoa"
"243","aasi   membantu   berjualan  harga yg relatif standar"
"244","terbaik"
"245","mantap"
